FOODS,HOBBIES,HOUSEHOLD,d
16959,2038,4848,d_1069
22152,3633,6868,d_1070
26981,3985,7904,d_1071
30889,4329,9398,d_1072
33305,3707,8290,d_1073
23856,2922,5634,d_1074
22468,2845,5639,d_1075
23783,3073,6117,d_1076
24079,3165,5953,d_1077
22462,3147,7157,d_1078
33828,4205,9765,d_1079
34073,3815,8970,d_1080
23707,3501,6506,d_1081
21919,2775,5529,d_1082
22549,3002,6028,d_1083
22212,2863,6115,d_1084
24220,3787,7233,d_1085
29444,4285,9504,d_1086
27821,3635,8971,d_1087
22041,3268,7397,d_1088
19150,2687,6017,d_1089
18956,3310,5931,d_1090
17900,2741,5603,d_1091
21392,3008,6488,d_1092
27315,3972,9242,d_1093
27873,3798,8526,d_1094
20830,3147,6083,d_1095
16722,2253,5025,d_1096
17223,2474,5286,d_1097
18047,3062,5908,d_1098
23319,4375,8795,d_1099
30569,4261,10503,d_1100
31405,3506,8986,d_1101
26133,3558,7603,d_1102
20953,3254,6370,d_1103
22514,3011,6151,d_1104
23162,3112,6115,d_1105
23379,3483,7393,d_1106
31534,4365,11209,d_1107
33181,3555,11304,d_1108
22641,2893,7613,d_1109
23211,3092,7230,d_1110
25428,3182,8128,d_1111
26663,2989,7831,d_1112
23402,3148,7360,d_1113
29255,4291,11419,d_1114
29007,3536,11289,d_1115
22424,3015,9118,d_1116
20341,2768,7601,d_1117
20114,2681,7616,d_1118
19239,2914,7550,d_1119
21484,3261,8581,d_1120
26444,3910,11134,d_1121
29427,3589,11411,d_1122
21331,2913,7553,d_1123
19748,2959,7018,d_1124
17286,2696,6369,d_1125
18947,2728,7215,d_1126
22126,3314,8758,d_1127
29437,4261,11798,d_1128
31375,4007,11395,d_1129
25177,3418,8606,d_1130
20444,2675,6947,d_1131
21778,2756,6744,d_1132
22628,3166,6868,d_1133
23732,3246,7886,d_1134
28904,3967,10614,d_1135
35651,3678,10761,d_1136
26372,3011,8123,d_1137
24913,2581,7073,d_1138
24854,3050,7038,d_1139
23146,2842,7096,d_1140
25471,3486,7989,d_1141
30233,3880,10595,d_1142
30777,3766,10833,d_1143
21828,2952,7304,d_1144
20277,2772,7046,d_1145
19778,2745,6861,d_1146
19783,2565,6461,d_1147
22445,3093,7664,d_1148
27474,3970,9997,d_1149
30010,3828,10333,d_1150
21814,2817,7212,d_1151
19589,2445,6432,d_1152
18365,2735,5914,d_1153
20291,3102,6817,d_1154
22065,3212,7641,d_1155
27277,3926,9990,d_1156
29286,3683,10187,d_1157
20559,2930,7183,d_1158
22367,3100,8241,d_1159
23418,2854,7427,d_1160
25406,3178,8020,d_1161
24541,3218,7926,d_1162
32344,3963,10469,d_1163
35030,3548,10212,d_1164
26183,2992,7419,d_1165
25383,2731,7134,d_1166
25785,2881,6543,d_1167
23049,2765,7224,d_1168
26533,3447,8459,d_1169
32082,3821,10252,d_1170
32339,3497,10247,d_1171
25187,2723,7841,d_1172
26054,2844,7498,d_1173
23936,2873,7419,d_1174
23347,2953,6893,d_1175
27116,3385,8404,d_1176
33915,4210,9694,d_1177
28310,2990,7634,d_1178
21512,2961,7153,d_1179
20729,2991,6958,d_1180
20706,3165,6566,d_1181
20830,3106,6856,d_1182
23074,3151,7202,d_1183
28761,4018,9598,d_1184
29977,3399,10064,d_1185
21699,2735,7074,d_1186
20737,2634,6494,d_1187
19469,2677,6737,d_1188
22866,2944,8049,d_1189
26782,3498,8671,d_1190
31830,4079,10633,d_1191
31271,3727,10141,d_1192
25077,2938,7805,d_1193
23661,2838,7112,d_1194
22628,2921,6597,d_1195
22511,2957,6351,d_1196
25546,3343,7474,d_1197
30074,3910,8859,d_1198
27298,3361,7521,d_1199
27812,2787,7323,d_1200
24218,2995,6631,d_1201
23780,2752,6285,d_1202
24173,2838,6511,d_1203
23449,3315,7825,d_1204
26750,3802,9467,d_1205
29904,3784,9332,d_1206
22296,3004,7014,d_1207
20432,3015,6479,d_1208
20041,2867,6175,d_1209
21061,2987,6338,d_1210
22806,3349,7270,d_1211
26077,3584,8725,d_1212
24953,3292,7720,d_1213
23030,2845,7584,d_1214
19258,2998,6656,d_1215
18649,2909,6551,d_1216
18571,2714,6404,d_1217
21978,3633,8129,d_1218
27013,3832,9847,d_1219
30257,4128,10217,d_1220
25930,3199,8183,d_1221
26780,3524,8053,d_1222
22674,3108,7117,d_1223
25235,3071,7349,d_1224
26546,3214,7697,d_1225
30926,3759,9662,d_1226
32366,3641,9272,d_1227
28106,2798,7352,d_1228
23602,2984,7072,d_1229
25260,2896,6488,d_1230
25386,3157,6534,d_1231
27105,3540,7711,d_1232
32069,3950,8965,d_1233
31111,3276,8107,d_1234
24640,3177,7386,d_1235
23438,2990,7114,d_1236
22674,2974,6621,d_1237
23023,2899,7198,d_1238
26120,3423,8453,d_1239
28669,4083,9668,d_1240
29067,3612,9781,d_1241
22832,3180,7146,d_1242
20933,2924,6784,d_1243
19372,2806,6643,d_1244
19671,2803,6882,d_1245
22605,3572,7901,d_1246
26545,3709,9676,d_1247
27798,3513,8900,d_1248
22767,3105,7577,d_1249
25368,3478,8893,d_1250
26627,3264,7978,d_1251
33512,4041,9475,d_1252
28079,2983,7531,d_1253
28344,3466,8972,d_1254
32381,3629,9480,d_1255
26648,2918,8069,d_1256
26138,2966,7344,d_1257
27032,2856,7326,d_1258
25171,2864,7144,d_1259
28959,3197,8097,d_1260
33824,3876,9996,d_1261
30968,3488,9219,d_1262
25885,2976,7420,d_1263
25642,2869,7304,d_1264
22519,3238,7254,d_1265
22267,2851,7312,d_1266
24546,3339,8564,d_1267
28496,3807,10177,d_1268
29167,3567,9955,d_1269
22955,2789,7707,d_1270
21800,2752,6960,d_1271
21138,2742,7059,d_1272
21227,2627,6671,d_1273
23070,3136,7642,d_1274
26184,3523,9301,d_1275
28634,3577,10003,d_1276
22052,2794,7786,d_1277
20932,2740,7033,d_1278
20748,2675,6911,d_1279
21259,3038,7543,d_1280
28538,4122,10469,d_1281
32037,4074,10900,d_1282
33206,3977,10389,d_1283
24910,3040,7849,d_1284
25876,2794,7568,d_1285
24627,2894,7026,d_1286
24418,2972,7187,d_1287
27082,3056,8842,d_1288
31427,3604,10227,d_1289
29660,3576,10013,d_1290
25554,2823,7745,d_1291
25925,3134,7613,d_1292
24240,2775,7404,d_1293
24299,2958,7279,d_1294
26603,3247,8408,d_1295
30693,3575,10287,d_1296
32011,3449,11213,d_1297
24256,2948,8175,d_1298
21524,2699,7736,d_1299
21610,2656,7581,d_1300
22176,2747,7476,d_1301
25416,3071,8629,d_1302
30123,3518,11032,d_1303
32701,3634,11108,d_1304
23583,2843,8241,d_1305
21185,2738,7479,d_1306
20049,2646,6811,d_1307
20235,2749,6992,d_1308
24645,3238,9810,d_1309
28541,3735,10961,d_1310
25911,3343,9956,d_1311
29391,3343,10522,d_1312
23928,2941,7430,d_1313
26278,2998,8121,d_1314
21739,2681,7063,d_1315
24910,3428,7628,d_1316
32202,3590,10225,d_1317
32390,3432,10131,d_1318
25246,2685,7649,d_1319
24565,2795,6807,d_1320
22171,2657,6964,d_1321
24581,2733,7166,d_1322
26997,3233,8129,d_1323
32734,3849,10996,d_1324
31956,3434,10357,d_1325
26237,2615,7707,d_1326
21649,2595,6793,d_1327
20181,2775,6875,d_1328
19690,2588,6583,d_1329
23459,3071,8302,d_1330
28253,3954,10825,d_1331
30236,3675,10491,d_1332
21874,2414,7222,d_1333
20101,2554,6755,d_1334
19860,2553,6588,d_1335
19607,2887,7017,d_1336
22516,2996,7615,d_1337
27616,3607,9616,d_1338
29051,3542,10331,d_1339
21374,2691,7408,d_1340
19694,2776,7520,d_1341
22444,3376,8782,d_1342
23469,2880,7900,d_1343
28194,3648,9994,d_1344
31579,4251,11369,d_1345
33934,3569,10858,d_1346
26480,3435,7804,d_1347
23126,2689,7336,d_1348
22984,3023,7178,d_1349
23930,2730,7078,d_1350
23519,3442,8040,d_1351
30005,3947,10609,d_1352
32667,3624,10444,d_1353
23532,2893,7132,d_1354
22727,2994,6730,d_1355
23904,3296,6993,d_1356
20191,3051,6694,d_1357
21996,3577,7857,d_1358
28603,4389,10763,d_1359
29321,3805,10330,d_1360
21668,3076,7489,d_1361
19239,3310,6818,d_1362
18397,3109,6420,d_1363
18717,2942,6847,d_1364
21476,3461,7853,d_1365
26644,4312,9797,d_1366
26729,3788,9680,d_1367
20744,3321,7138,d_1368
18623,3267,6450,d_1369
18432,3122,6009,d_1370
20327,3469,6439,d_1371
21905,3451,7494,d_1372
28502,4592,11155,d_1373
31405,3797,10870,d_1374
26473,3510,8581,d_1375
21275,3276,7401,d_1376
21448,2570,6814,d_1377
23211,2973,7039,d_1378
23216,3382,8165,d_1379
29746,3917,10607,d_1380
33237,3805,10373,d_1381
23987,2971,7491,d_1382
22849,3200,6539,d_1383
22050,2760,5680,d_1384
20171,2766,5774,d_1385
24077,3460,7202,d_1386
30298,4372,9713,d_1387
29793,3878,9845,d_1388
21768,3221,6822,d_1389
19080,2921,6013,d_1390
18792,3134,6121,d_1391
18919,2940,6388,d_1392
21626,3572,7665,d_1393
27628,4267,10507,d_1394
26974,3763,9893,d_1395
21392,2994,7212,d_1396
21890,3161,6837,d_1397
25784,3401,7718,d_1398
16319,1525,4000,d_1399
16985,2709,6660,d_1400
22000,3609,8847,d_1401
24009,3250,8546,d_1402
21873,3964,8468,d_1403
20763,3264,6542,d_1404
22236,3351,7018,d_1405
20851,3241,7424,d_1406
24634,3545,8784,d_1407
29601,4451,9763,d_1408
29168,4006,9353,d_1409
23523,2920,6671,d_1410
23051,3352,6264,d_1411
22292,3365,6241,d_1412
18824,2260,5031,d_1413
23024,3351,7127,d_1414
26728,4026,9282,d_1415
28631,3993,9382,d_1416
24135,3185,6807,d_1417
20667,3125,6144,d_1418
20575,3011,6566,d_1419
22927,3138,6302,d_1420
20091,3322,6421,d_1421
25103,4347,8971,d_1422
25926,3893,8669,d_1423
22904,3454,7378,d_1424
23893,3620,7349,d_1425
21336,2564,5717,d_1426
20,0,0,d_1427
20588,3601,8720,d_1428
20407,3542,8645,d_1429
20663,3049,8182,d_1430
19236,3195,7559,d_1431
19369,2928,7120,d_1432
23280,3048,7122,d_1433
17537,2579,6336,d_1434
25666,4362,9605,d_1435
28020,3540,9525,d_1436
28286,3482,7879,d_1437
24896,3034,6761,d_1438
24039,2862,5781,d_1439
21233,2559,5373,d_1440
21084,2541,5404,d_1441
24722,3210,6453,d_1442
30405,4103,9438,d_1443
31664,3389,10013,d_1444
25343,2948,7283,d_1445
21066,2886,6372,d_1446
21929,2651,6479,d_1447
23072,2890,7101,d_1448
23449,3308,8132,d_1449
30173,4250,10746,d_1450
27364,3655,9705,d_1451
22686,3320,8406,d_1452
18946,2769,6648,d_1453
18680,2966,6463,d_1454
17073,2723,5999,d_1455
21519,3248,7454,d_1456
27447,4280,10454,d_1457
28499,4181,9943,d_1458
20207,3196,6955,d_1459
18547,2792,6534,d_1460
18806,2822,6476,d_1461
18140,3253,6832,d_1462
23064,4163,10213,d_1463
32468,5183,13177,d_1464
27553,3576,9256,d_1465
23799,3132,8075,d_1466
25292,3716,8397,d_1467
22528,3419,8045,d_1468
23002,3795,7850,d_1469
24697,3427,8685,d_1470
33393,4878,12565,d_1471
33980,3982,11757,d_1472
27130,3414,8626,d_1473
23701,3582,8181,d_1474
24383,3413,7905,d_1475
26897,3605,8068,d_1476
24889,3801,8246,d_1477
27659,4119,9836,d_1478
28746,4073,11188,d_1479
23988,3530,9629,d_1480
19768,3275,7654,d_1481
18125,3130,7250,d_1482
18453,3234,7121,d_1483
20872,3678,8569,d_1484
25850,4304,11955,d_1485
26932,4342,12485,d_1486
19673,3177,8672,d_1487
18685,3121,7974,d_1488
17822,3269,8136,d_1489
17921,3271,8031,d_1490
19849,4042,9675,d_1491
26374,4914,12866,d_1492
28980,4606,11600,d_1493
23531,3490,8377,d_1494
23061,3267,8059,d_1495
20843,3301,7630,d_1496
22163,3471,7185,d_1497
24332,3439,8166,d_1498
28690,4599,10940,d_1499
30939,4452,11988,d_1500
24156,3288,8576,d_1501
21362,3182,9053,d_1502
21232,3281,8378,d_1503
22790,3426,8175,d_1504
23662,3547,9414,d_1505
28353,4251,11867,d_1506
32233,4523,12071,d_1507
23103,3575,8817,d_1508
20786,3109,7517,d_1509
19329,3200,7418,d_1510
18970,3090,7309,d_1511
20787,3644,8568,d_1512
26272,4236,11474,d_1513
27824,4331,11859,d_1514
21000,3249,8089,d_1515
17007,3014,6820,d_1516
20386,3342,8267,d_1517
18994,3178,7730,d_1518
20619,3730,8186,d_1519
25981,4675,10875,d_1520
27500,4214,10869,d_1521
20364,3435,8100,d_1522
19656,3256,8044,d_1523
22077,3847,9136,d_1524
22352,3385,8080,d_1525
29325,4384,10399,d_1526
32041,4800,11578,d_1527
27635,3679,10322,d_1528
23578,3816,8821,d_1529
22066,3764,8081,d_1530
22413,3534,8202,d_1531
22856,3308,8273,d_1532
23341,3947,9565,d_1533
28740,4522,12010,d_1534
31177,4156,11847,d_1535
22827,3191,8476,d_1536
22468,3330,7799,d_1537
23119,3486,8085,d_1538
20808,2991,7632,d_1539
21824,2873,8362,d_1540
26782,4385,11349,d_1541
28414,4364,11581,d_1542
20965,3265,8888,d_1543
19239,3317,7671,d_1544
19273,3495,7614,d_1545
19381,3341,7936,d_1546
21930,4015,8478,d_1547
27548,4519,11531,d_1548
28143,4463,10800,d_1549
22109,3412,7923,d_1550
19376,3098,7276,d_1551
18440,3366,6861,d_1552
20054,3318,7181,d_1553
26192,4314,10470,d_1554
31415,4312,11325,d_1555
33010,4315,11777,d_1556
24771,3927,9471,d_1557
23947,3317,7825,d_1558
23769,3626,7901,d_1559
22221,3450,7650,d_1560
24395,4228,8801,d_1561
31497,4508,11264,d_1562
25394,3762,8874,d_1563
24658,3707,8827,d_1564
23653,3392,7988,d_1565
22032,3474,8179,d_1566
21090,3170,7794,d_1567
24383,3832,9549,d_1568
27507,4533,12296,d_1569
28068,4453,11972,d_1570
21915,3453,8928,d_1571
19435,3463,7773,d_1572
19514,3538,8106,d_1573
19400,3442,7759,d_1574
22834,4177,9256,d_1575
24287,4843,10845,d_1576
23145,3952,10329,d_1577
24038,3826,9953,d_1578
19085,3740,8054,d_1579
18855,3340,7902,d_1580
18907,3322,7987,d_1581
20106,3815,9004,d_1582
25104,4316,11518,d_1583
26777,4446,12240,d_1584
23876,4185,10593,d_1585
24951,3441,9032,d_1586
24806,3781,9403,d_1587
22797,3527,8598,d_1588
26735,3790,9364,d_1589
31506,4704,11297,d_1590
32962,4255,11209,d_1591
27594,3448,8880,d_1592
26624,3184,8376,d_1593
23633,3309,8234,d_1594
24558,3166,7861,d_1595
27193,3897,9192,d_1596
29284,4224,11345,d_1597
33602,4038,11341,d_1598
34524,3819,9237,d_1599
21346,2971,7381,d_1600
20254,3331,7893,d_1601
22419,3457,8549,d_1602
24540,3989,9300,d_1603
28664,4491,11100,d_1604
27466,4002,9945,d_1605
22424,3483,8939,d_1606
21517,3183,8371,d_1607
20419,3354,7849,d_1608
21055,3309,8012,d_1609
23007,3730,9208,d_1610
26843,4153,11217,d_1611
27385,4271,11290,d_1612
21250,3798,8880,d_1613
20492,3553,8134,d_1614
23937,4028,10112,d_1615
27128,3988,10728,d_1616
35834,5360,12960,d_1617
25710,3063,8716,d_1618
28844,3940,10748,d_1619
28086,3651,9801,d_1620
25289,3581,8485,d_1621
24232,3670,8147,d_1622
26429,3633,8148,d_1623
26862,3903,9130,d_1624
31624,4501,11280,d_1625
33585,4333,11676,d_1626
26277,3390,9391,d_1627
25155,3257,8419,d_1628
25664,3531,8900,d_1629
24624,3734,9120,d_1630
27650,4118,10079,d_1631
29362,4459,11839,d_1632
30935,4672,12177,d_1633
24475,3568,9504,d_1634
22004,3478,8656,d_1635
21473,3447,8456,d_1636
21974,3554,8667,d_1637
24470,3976,9995,d_1638
27336,4009,11279,d_1639
28447,4058,11687,d_1640
23151,3555,9420,d_1641
21370,3309,8276,d_1642
20647,3006,7940,d_1643
21418,3672,8497,d_1644
25513,4499,11466,d_1645
30788,4947,13415,d_1646
34208,4401,12932,d_1647
29976,4065,11216,d_1648
24605,3559,9494,d_1649
25804,3711,8764,d_1650
25699,3414,8685,d_1651
26559,3615,9963,d_1652
31287,4688,12129,d_1653
34965,4593,12403,d_1654
25278,3565,9481,d_1655
24541,3310,8598,d_1656
25068,3555,8728,d_1657
23609,3608,8838,d_1658
26661,3875,10226,d_1659
31524,4557,12355,d_1660
33402,4407,12731,d_1661
25751,3632,9729,d_1662
22549,3485,9211,d_1663
21440,3569,8698,d_1664
20399,3280,8837,d_1665
23172,3756,10035,d_1666
27509,4736,12835,d_1667
30046,4389,13161,d_1668
22495,3481,9117,d_1669
19432,3357,8506,d_1670
19684,3744,8539,d_1671
20179,3494,8403,d_1672
23083,3765,9403,d_1673
27956,4620,12660,d_1674
30750,4420,13347,d_1675
22742,3705,9438,d_1676
23606,3876,10473,d_1677
23616,3699,9275,d_1678
26022,3595,10002,d_1679
24884,4303,10083,d_1680
31105,4304,12078,d_1681
30802,4051,10395,d_1682
30984,3900,10878,d_1683
24625,3169,8375,d_1684
26091,3465,8546,d_1685
23652,3411,8630,d_1686
26699,3902,9685,d_1687
33062,4516,12525,d_1688
34321,4510,12509,d_1689
25746,3413,8912,d_1690
25522,3406,8497,d_1691
22361,3425,7859,d_1692
22159,3685,8154,d_1693
24862,4099,9728,d_1694
31020,4723,12536,d_1695
33168,4487,12324,d_1696
23952,3350,8843,d_1697
21737,3548,8233,d_1698
21713,3430,8354,d_1699
21615,3390,7962,d_1700
24758,3847,10075,d_1701
30063,4427,12146,d_1702
31061,4435,12117,d_1703
22385,3357,8520,d_1704
19347,3284,7984,d_1705
19656,3527,8087,d_1706
23495,4224,9958,d_1707
28869,4474,11033,d_1708
36094,4930,13663,d_1709
35413,4879,12603,d_1710
29609,3488,9377,d_1711
27077,3397,8381,d_1712
24077,3693,8117,d_1713
25654,3349,8816,d_1714
29016,4278,10301,d_1715
31332,4715,12740,d_1716
33686,4248,11770,d_1717
29101,3754,9385,d_1718
24216,3390,8075,d_1719
23134,3514,7600,d_1720
24750,3629,7974,d_1721
25100,4183,9139,d_1722
30592,5213,12008,d_1723
32013,4768,12183,d_1724
23216,3690,8396,d_1725
21671,3518,7915,d_1726
20943,3854,7614,d_1727
21407,3712,7651,d_1728
24514,4313,9194,d_1729
28678,4977,11351,d_1730
29898,4958,11323,d_1731
22443,3837,8812,d_1732
20743,4036,7540,d_1733
19954,3551,7762,d_1734
21181,4070,7981,d_1735
25171,4700,10643,d_1736
26863,4888,10992,d_1737
29443,4745,12806,d_1738
23514,3797,9146,d_1739
24325,4017,9655,d_1740
20142,3646,8314,d_1741
22225,4013,8437,d_1742
25362,4325,9934,d_1743
30094,4681,12566,d_1744
31634,4932,11845,d_1745
25378,3402,8135,d_1746
21722,3666,7986,d_1747
21893,3705,7740,d_1748
22543,3551,7148,d_1749
23272,4198,8725,d_1750
30514,4746,12082,d_1751
33444,4605,11706,d_1752
23385,3907,8443,d_1753
18746,3563,6865,d_1754
20550,3765,7845,d_1755
20554,3942,7869,d_1756
24562,4424,9371,d_1757
27164,4498,11131,d_1758
28639,4817,11469,d_1759
22584,3819,8737,d_1760
22388,3901,7933,d_1761
27049,4187,8888,d_1762
16789,1631,5211,d_1763
16847,3248,7486,d_1764
20830,4060,9322,d_1765
23727,4057,9998,d_1766
19997,3796,8223,d_1767
21368,4193,9257,d_1768
21893,3620,8219,d_1769
23910,4478,9641,d_1770
23329,4397,10461,d_1771
29867,5287,11871,d_1772
31794,4919,11702,d_1773
23267,3637,8504,d_1774
21889,3590,7434,d_1775
22372,3627,7691,d_1776
20841,3738,7580,d_1777
23632,4209,8502,d_1778
29677,4973,11325,d_1779
29546,4738,10849,d_1780
25062,3876,8584,d_1781
24296,3761,8073,d_1782
22432,3861,7830,d_1783
23600,3955,7899,d_1784
22330,4142,8284,d_1785
27459,5001,11028,d_1786
27441,4878,10692,d_1787
22816,4015,8691,d_1788
23904,3966,8742,d_1789
25401,4271,9080,d_1790
24801,3408,8018,d_1791
13,0,1,d_1792
22488,4977,10912,d_1793
21520,4092,9766,d_1794
18407,3428,8129,d_1795
19586,3607,8700,d_1796
21653,3686,8788,d_1797
28448,4199,10412,d_1798
21078,3182,8391,d_1799
27822,4951,11964,d_1800
29314,3860,11166,d_1801
23620,3742,9331,d_1802
23769,3327,8210,d_1803
22361,3240,7084,d_1804
24445,3327,8172,d_1805
26351,3772,8813,d_1806
35798,4836,12246,d_1807
32270,4378,10721,d_1808
27101,3209,7676,d_1809
24972,3040,7110,d_1810
22345,3017,6869,d_1811
24669,3421,7766,d_1812
28620,3730,9440,d_1813
34155,4724,12267,d_1814
30334,4133,11066,d_1815
25872,3329,9139,d_1816
21864,3048,7076,d_1817
21667,3399,7618,d_1818
20893,3374,7512,d_1819
23987,3763,8557,d_1820
31424,4812,12691,d_1821
31610,4107,12115,d_1822
22259,3505,8625,d_1823
19981,3040,7425,d_1824
20132,3596,7621,d_1825
21111,3420,7935,d_1826
24055,3978,9606,d_1827
30863,5139,13102,d_1828
32698,5154,12979,d_1829
26690,4104,10920,d_1830
23333,3304,8291,d_1831
26298,3733,9309,d_1832
23300,3597,8527,d_1833
26722,4039,9432,d_1834
37412,5097,12531,d_1835
32421,4086,10386,d_1836
25144,3171,8489,d_1837
26372,3593,8548,d_1838
26112,3625,9616,d_1839
30452,3896,10236,d_1840
30248,3835,10139,d_1841
35686,4965,13064,d_1842
32998,4103,11236,d_1843
31682,3593,10877,d_1844
25542,3546,8614,d_1845
24359,3394,8792,d_1846
23740,3603,9093,d_1847
26388,3938,10066,d_1848
32750,4904,13203,d_1849
34196,4528,13357,d_1850
24198,3693,9437,d_1851
22133,3295,8553,d_1852
21961,3304,8803,d_1853
22406,3314,8895,d_1854
24208,3957,9484,d_1855
31067,4389,12431,d_1856
32834,4884,13197,d_1857
24087,3449,9723,d_1858
23458,3513,9565,d_1859
25150,3813,9495,d_1860
27241,3860,10358,d_1861
25878,3703,9744,d_1862
35200,4636,12486,d_1863
38547,4879,13792,d_1864
27978,3356,9228,d_1865
26276,3240,8211,d_1866
25601,3203,8228,d_1867
25491,3787,8989,d_1868
27897,3333,9657,d_1869
34734,4810,13167,d_1870
34710,4229,12482,d_1871
29086,3593,9356,d_1872
27703,3552,8862,d_1873
24605,3621,8380,d_1874
23502,3218,8289,d_1875
26455,3794,9403,d_1876
29999,4735,11447,d_1877
31758,4006,12061,d_1878
24910,3342,9108,d_1879
24242,3140,8093,d_1880
23262,3422,8102,d_1881
22874,3352,7777,d_1882
30906,4230,10475,d_1883
37135,4476,12252,d_1884
32236,3643,10481,d_1885
23285,3555,9201,d_1886
22191,3446,8220,d_1887
21017,3333,8009,d_1888
22127,3421,9133,d_1889
28627,4790,12119,d_1890
34284,4863,13525,d_1891
37633,4903,13889,d_1892
27025,3661,9732,d_1893
27243,3477,8963,d_1894
27238,3379,8517,d_1895
25655,3443,9018,d_1896
29449,4066,9705,d_1897
38334,4739,13267,d_1898
36446,4525,12885,d_1899
29091,3716,9620,d_1900
27424,3384,8261,d_1901
23888,3557,7748,d_1902
25456,3786,8287,d_1903
28682,3786,9321,d_1904
32007,4634,11721,d_1905
34497,4820,12323,d_1906
26151,3323,8585,d_1907
24948,3787,8835,d_1908
23632,3472,8239,d_1909
23317,3353,8363,d_1910
26704,4085,9728,d_1911
31927,4787,12248,d_1912
32654,4683,12458,d_1913
25953,3782,9058,d_1914
23519,3645,8323,d_1915
22872,3730,7843,d_1916
22915,3742,8075,d_1917
27668,4085,11143,d_1918
32723,5214,12492,d_1919
35369,4858,12805,d_1920
29142,4059,9980,d_1921
29594,4373,10347,d_1922
27199,3708,8694,d_1923
28193,3802,8768,d_1924
30407,3879,9519,d_1925
36752,5003,12484,d_1926
31835,4062,9712,d_1927
32906,3895,9599,d_1928
27331,3588,8460,d_1929
29303,3817,9128,d_1930
28142,3706,8655,d_1931
30107,3871,10095,d_1932
36576,4893,12839,d_1933
41447,5016,13458,d_1934
29158,3528,9676,d_1935
26148,3629,9000,d_1936
24790,3740,8566,d_1937
24737,3475,8751,d_1938
28136,4143,10273,d_1939
33599,5333,12586,d_1940
35967,5280,13091,d_1941
